Topic,Term,Term Percentage,first_sentence,Term-Label
Topic5,pregnancy,0.006,"['The direct pathogenesis of this auto-immunity is unknown, but therapeutic immunomodulators, prescribed on a case-by-case basis, could favor pregnancy even in cases of unexplained primary or secondary infertility",medical_term
Topic5,systematic,0.006,"['A systematic review was performed (PUBMED) using the MESH search terms ""infertility"" and ""auto-immunity"" or ""reproductive technique"" or ""assisted reproduction"" or ""in vitro fertilization"" and ""auto-immunity",noise
Topic5,reproductive,0.005,"['A systematic review was performed (PUBMED) using the MESH search terms ""infertility"" and ""auto-immunity"" or ""reproductive technique"" or ""assisted reproduction"" or ""in vitro fertilization"" and ""auto-immunity",medical_term
Topic5,meta-analysis,0.005,['Meta-analysis of studies that evaluated peripheral and uterine NK (uNK) cell percentages in infertile versus fertile women showed no significant difference between the two groups [standardized mean difference (SMD) -0,noise
Topic5,risk,0.005,['Meta-analysis of studies that evaluated the role of NK cells in IVF outcome showed no significant difference in live birth rates in women with elevated NK cells or NK cell activity compared with women without elevated peripheral NK cells or NK cell activity (NK activity assessed using a cytotoxicity assay) (relative risk 0,general_term
Topic6,women,0.014,"['In the last 20\xa0years, aspecific auto-immunity, defined as positivity of auto-antibodies in blood sample without clinical or biological criteria for defined diseases, has been evoked in a subpopulation of infertile women",noise
Topic6,pregnancy,0.013,"['The direct pathogenesis of this auto-immunity is unknown, but therapeutic immunomodulators, prescribed on a case-by-case basis, could favor pregnancy even in cases of unexplained primary or secondary infertility",medical_term
Topic6,studies,0.012,['We retained clinical and physiopathological studies that were applicable to the clinician in assuming joint management of both infertility associated with serum auto-antibodies in women,medical_term
Topic6,reproductive,0.01,"['A systematic review was performed (PUBMED) using the MESH search terms ""infertility"" and ""auto-immunity"" or ""reproductive technique"" or ""assisted reproduction"" or ""in vitro fertilization"" and ""auto-immunity",medical_term
Topic6,rate,0.008,['The following describers were used: <i>chlamydia trachomatis</i> AND <i>infertility</i>; <i>chlamydia trachomatis</i> AND <i>tubal alteration</i> AND <i>infertility</i>; <i>chlamydia</i> AND low <i>pregnancy rates</i>,medical_term
Topic6,outcomes,0.007,"['Also, the variation in the participant, interventions, outcomes studied, and trial design may relate to the efficacy of adjuvant acupuncture",noise
Topic6,infertility,0.007,"['On average, 10\xa0% of infertile couples have unexplained infertility",medical_term
Topic6,art,0.006,"['Auto-immune disease (systemic lupus erythematosus, anti-phospholipid syndrome) accounts for a part of these cases",medical_term
Topic6,endometriosis,0.006,['To compare the effectiveness of different treatments for women with endometriosis-related infertility,medical_term
Topic6,review,0.006,"['A systematic review was performed (PUBMED) using the MESH search terms ""infertility"" and ""auto-immunity"" or ""reproductive technique"" or ""assisted reproduction"" or ""in vitro fertilization"" and ""auto-immunity",general_term
